Vardas         Pavarde        Galutinis (Vid.)    
--------------------------------------------------
Vardas1        Pavarde1       7.95
Vardas10       Pavarde10      4.69
Vardas100      Pavarde100     5.64
Vardas1000     Pavarde1000    4.88
Vardas101      Pavarde101     7.77
Vardas102      Pavarde102     7.53
Vardas103      Pavarde103     6.08
Vardas104      Pavarde104     4.31
Vardas105      Pavarde105     7.76
Vardas106      Pavarde106     4.20
Vardas107      Pavarde107     8.21
Vardas108      Pavarde108     6.95
Vardas109      Pavarde109     2.09
Vardas11       Pavarde11      6.57
Vardas110      Pavarde110     5.06
Vardas111      Pavarde111     3.78
Vardas112      Pavarde112     4.03
Vardas113      Pavarde113     6.06
Vardas114      Pavarde114     5.44
Vardas115      Pavarde115     5.75
Vardas116      Pavarde116     5.85
Vardas117      Pavarde117     6.74
Vardas118      Pavarde118     7.85
Vardas119      Pavarde119     7.07
Vardas12       Pavarde12      5.94
Vardas120      Pavarde120     8.23
Vardas121      Pavarde121     8.00
Vardas122      Pavarde122     5.06
Vardas123      Pavarde123     3.97
Vardas124      Pavarde124     7.67
Vardas125      Pavarde125     7.44
Vardas126      Pavarde126     6.54
Vardas127      Pavarde127     4.69
Vardas128      Pavarde128     5.40
Vardas129      Pavarde129     6.79
Vardas13       Pavarde13      8.29
Vardas130      Pavarde130     4.57
Vardas131      Pavarde131     6.88
Vardas132      Pavarde132     7.74
Vardas133      Pavarde133     6.73
Vardas134      Pavarde134     7.59
Vardas135      Pavarde135     5.00
Vardas136      Pavarde136     7.59
Vardas137      Pavarde137     7.76
Vardas138      Pavarde138     6.06
Vardas139      Pavarde139     5.92
Vardas14       Pavarde14      3.53
Vardas140      Pavarde140     4.85
Vardas141      Pavarde141     7.16
Vardas142      Pavarde142     3.19
Vardas143      Pavarde143     7.66
Vardas144      Pavarde144     5.52
Vardas145      Pavarde145     6.47
Vardas146      Pavarde146     8.03
Vardas147      Pavarde147     4.65
Vardas148      Pavarde148     8.38
Vardas149      Pavarde149     3.64
Vardas15       Pavarde15      3.69
Vardas150      Pavarde150     3.95
Vardas151      Pavarde151     6.23
Vardas152      Pavarde152     5.17
Vardas153      Pavarde153     6.95
Vardas154      Pavarde154     4.01
Vardas155      Pavarde155     5.60
Vardas156      Pavarde156     8.23
Vardas157      Pavarde157     7.09
Vardas158      Pavarde158     3.85
Vardas159      Pavarde159     2.60
Vardas16       Pavarde16      4.63
Vardas160      Pavarde160     3.33
Vardas161      Pavarde161     8.00
Vardas162      Pavarde162     6.55
Vardas163      Pavarde163     6.45
Vardas164      Pavarde164     7.93
Vardas165      Pavarde165     3.47
Vardas166      Pavarde166     4.36
Vardas167      Pavarde167     3.73
Vardas168      Pavarde168     8.13
Vardas169      Pavarde169     7.07
Vardas17       Pavarde17      5.66
Vardas170      Pavarde170     7.23
Vardas171      Pavarde171     3.44
Vardas172      Pavarde172     6.62
Vardas173      Pavarde173     4.41
Vardas174      Pavarde174     7.47
Vardas175      Pavarde175     2.49
Vardas176      Pavarde176     5.21
Vardas177      Pavarde177     4.78
Vardas178      Pavarde178     5.68
Vardas179      Pavarde179     5.15
Vardas18       Pavarde18      3.18
Vardas180      Pavarde180     5.21
Vardas181      Pavarde181     4.63
Vardas182      Pavarde182     3.62
Vardas183      Pavarde183     7.65
Vardas184      Pavarde184     5.29
Vardas185      Pavarde185     2.98
Vardas186      Pavarde186     3.28
Vardas187      Pavarde187     6.91
Vardas188      Pavarde188     5.34
Vardas189      Pavarde189     7.61
Vardas19       Pavarde19      2.64
Vardas190      Pavarde190     6.47
Vardas191      Pavarde191     7.96
Vardas192      Pavarde192     7.49
Vardas193      Pavarde193     7.65
Vardas194      Pavarde194     5.66
Vardas195      Pavarde195     2.77
Vardas196      Pavarde196     5.73
Vardas197      Pavarde197     6.97
Vardas198      Pavarde198     5.79
Vardas199      Pavarde199     6.32
Vardas2        Pavarde2       5.56
Vardas20       Pavarde20      3.76
Vardas200      Pavarde200     4.37
Vardas201      Pavarde201     3.35
Vardas202      Pavarde202     5.53
Vardas203      Pavarde203     6.67
Vardas204      Pavarde204     5.49
Vardas205      Pavarde205     6.49
Vardas206      Pavarde206     5.64
Vardas207      Pavarde207     6.64
Vardas208      Pavarde208     7.21
Vardas209      Pavarde209     5.06
Vardas21       Pavarde21      3.41
Vardas210      Pavarde210     3.66
Vardas211      Pavarde211     6.24
Vardas212      Pavarde212     7.46
Vardas213      Pavarde213     4.66
Vardas214      Pavarde214     4.82
Vardas215      Pavarde215     8.29
Vardas216      Pavarde216     5.34
Vardas217      Pavarde217     3.99
Vardas218      Pavarde218     8.06
Vardas219      Pavarde219     6.91
Vardas22       Pavarde22      4.53
Vardas220      Pavarde220     2.81
Vardas221      Pavarde221     8.13
Vardas222      Pavarde222     3.49
Vardas223      Pavarde223     6.41
Vardas224      Pavarde224     6.95
Vardas225      Pavarde225     7.94
Vardas226      Pavarde226     3.56
Vardas227      Pavarde227     5.92
Vardas228      Pavarde228     5.56
Vardas229      Pavarde229     5.04
Vardas23       Pavarde23      7.47
Vardas230      Pavarde230     2.73
Vardas231      Pavarde231     4.74
Vardas232      Pavarde232     4.13
Vardas233      Pavarde233     7.94
Vardas234      Pavarde234     5.31
Vardas235      Pavarde235     3.88
Vardas236      Pavarde236     3.39
Vardas237      Pavarde237     5.02
Vardas238      Pavarde238     7.69
Vardas239      Pavarde239     7.36
Vardas24       Pavarde24      5.63
Vardas240      Pavarde240     4.98
Vardas241      Pavarde241     2.68
Vardas242      Pavarde242     4.89
Vardas243      Pavarde243     5.54
Vardas244      Pavarde244     4.35
Vardas245      Pavarde245     4.95
Vardas246      Pavarde246     5.34
Vardas247      Pavarde247     4.03
Vardas248      Pavarde248     5.73
Vardas249      Pavarde249     2.47
Vardas25       Pavarde25      6.51
Vardas250      Pavarde250     3.39
Vardas251      Pavarde251     3.97
Vardas252      Pavarde252     3.73
Vardas253      Pavarde253     8.59
Vardas254      Pavarde254     3.01
Vardas255      Pavarde255     2.87
Vardas256      Pavarde256     6.31
Vardas257      Pavarde257     8.61
Vardas258      Pavarde258     8.32
Vardas259      Pavarde259     3.39
Vardas26       Pavarde26      7.40
Vardas260      Pavarde260     2.81
Vardas261      Pavarde261     2.81
Vardas262      Pavarde262     4.45
Vardas263      Pavarde263     6.52
Vardas264      Pavarde264     4.59
Vardas265      Pavarde265     5.75
Vardas266      Pavarde266     3.08
Vardas267      Pavarde267     7.85
Vardas268      Pavarde268     4.77
Vardas269      Pavarde269     5.57
Vardas27       Pavarde27      2.43
Vardas270      Pavarde270     3.28
Vardas271      Pavarde271     8.06
Vardas272      Pavarde272     8.13
Vardas273      Pavarde273     3.22
Vardas274      Pavarde274     8.27
Vardas275      Pavarde275     5.07
Vardas276      Pavarde276     5.84
Vardas277      Pavarde277     4.82
Vardas278      Pavarde278     4.01
Vardas279      Pavarde279     4.41
Vardas28       Pavarde28      4.98
Vardas280      Pavarde280     7.00
Vardas281      Pavarde281     5.64
Vardas282      Pavarde282     7.59
Vardas283      Pavarde283     3.28
Vardas284      Pavarde284     6.03
Vardas285      Pavarde285     7.27
Vardas286      Pavarde286     3.41
Vardas287      Pavarde287     4.14
Vardas288      Pavarde288     5.31
Vardas289      Pavarde289     6.89
Vardas29       Pavarde29      7.33
Vardas290      Pavarde290     7.66
Vardas291      Pavarde291     5.88
Vardas292      Pavarde292     5.73
Vardas293      Pavarde293     4.22
Vardas294      Pavarde294     6.02
Vardas295      Pavarde295     7.49
Vardas296      Pavarde296     6.26
Vardas297      Pavarde297     5.98
Vardas298      Pavarde298     4.67
Vardas299      Pavarde299     3.74
Vardas3        Pavarde3       5.28
Vardas30       Pavarde30      7.55
Vardas300      Pavarde300     3.82
Vardas301      Pavarde301     4.04
Vardas302      Pavarde302     7.41
Vardas303      Pavarde303     7.27
Vardas304      Pavarde304     8.42
Vardas305      Pavarde305     7.24
Vardas306      Pavarde306     6.82
Vardas307      Pavarde307     7.96
Vardas308      Pavarde308     6.52
Vardas309      Pavarde309     5.48
Vardas31       Pavarde31      6.43
Vardas310      Pavarde310     4.43
Vardas311      Pavarde311     4.16
Vardas312      Pavarde312     2.80
Vardas313      Pavarde313     4.14
Vardas314      Pavarde314     2.64
Vardas315      Pavarde315     7.11
Vardas316      Pavarde316     5.49
Vardas317      Pavarde317     4.12
Vardas318      Pavarde318     5.94
Vardas319      Pavarde319     3.37
Vardas32       Pavarde32      4.99
Vardas320      Pavarde320     8.61
Vardas321      Pavarde321     4.48
Vardas322      Pavarde322     3.31
Vardas323      Pavarde323     8.42
Vardas324      Pavarde324     4.39
Vardas325      Pavarde325     6.99
Vardas326      Pavarde326     6.15
Vardas327      Pavarde327     2.77
Vardas328      Pavarde328     5.29
Vardas329      Pavarde329     4.44
Vardas33       Pavarde33      7.61
Vardas330      Pavarde330     7.19
Vardas331      Pavarde331     4.07
Vardas332      Pavarde332     4.86
Vardas333      Pavarde333     7.61
Vardas334      Pavarde334     7.86
Vardas335      Pavarde335     6.72
Vardas336      Pavarde336     4.57
Vardas337      Pavarde337     4.63
Vardas338      Pavarde338     3.28
Vardas339      Pavarde339     5.98
Vardas34       Pavarde34      5.13
Vardas340      Pavarde340     3.88
Vardas341      Pavarde341     2.83
Vardas342      Pavarde342     7.51
Vardas343      Pavarde343     4.12
Vardas344      Pavarde344     4.42
Vardas345      Pavarde345     4.46
Vardas346      Pavarde346     6.07
Vardas347      Pavarde347     6.33
Vardas348      Pavarde348     5.11
Vardas349      Pavarde349     6.77
Vardas35       Pavarde35      7.97
Vardas350      Pavarde350     7.82
Vardas351      Pavarde351     3.93
Vardas352      Pavarde352     5.73
Vardas353      Pavarde353     2.64
Vardas354      Pavarde354     6.33
Vardas355      Pavarde355     5.81
Vardas356      Pavarde356     6.25
Vardas357      Pavarde357     8.00
Vardas358      Pavarde358     6.26
Vardas359      Pavarde359     5.06
Vardas36       Pavarde36      4.01
Vardas360      Pavarde360     6.33
Vardas361      Pavarde361     8.67
Vardas362      Pavarde362     7.38
Vardas363      Pavarde363     5.43
Vardas364      Pavarde364     7.89
Vardas365      Pavarde365     7.14
Vardas366      Pavarde366     7.34
Vardas367      Pavarde367     3.28
Vardas368      Pavarde368     7.66
Vardas369      Pavarde369     5.64
Vardas37       Pavarde37      8.53
Vardas370      Pavarde370     6.07
Vardas371      Pavarde371     8.00
Vardas372      Pavarde372     3.80
Vardas373      Pavarde373     6.63
Vardas374      Pavarde374     6.34
Vardas375      Pavarde375     6.66
Vardas376      Pavarde376     5.01
Vardas377      Pavarde377     6.64
Vardas378      Pavarde378     3.88
Vardas379      Pavarde379     7.13
Vardas38       Pavarde38      8.32
Vardas380      Pavarde380     3.88
Vardas381      Pavarde381     4.01
Vardas382      Pavarde382     3.73
Vardas383      Pavarde383     8.57
Vardas384      Pavarde384     6.02
Vardas385      Pavarde385     7.94
Vardas386      Pavarde386     3.13
Vardas387      Pavarde387     2.41
Vardas388      Pavarde388     4.46
Vardas389      Pavarde389     4.81
Vardas39       Pavarde39      3.41
Vardas390      Pavarde390     7.36
Vardas391      Pavarde391     6.02
Vardas392      Pavarde392     3.24
Vardas393      Pavarde393     3.33
Vardas394      Pavarde394     6.48
Vardas395      Pavarde395     5.83
Vardas396      Pavarde396     7.51
Vardas397      Pavarde397     6.39
Vardas398      Pavarde398     7.18
Vardas399      Pavarde399     6.61
Vardas4        Pavarde4       7.80
Vardas40       Pavarde40      3.97
Vardas400      Pavarde400     2.54
Vardas401      Pavarde401     8.27
Vardas402      Pavarde402     2.56
Vardas403      Pavarde403     4.82
Vardas404      Pavarde404     5.04
Vardas405      Pavarde405     6.21
Vardas406      Pavarde406     8.25
Vardas407      Pavarde407     7.74
Vardas408      Pavarde408     4.24
Vardas409      Pavarde409     6.51
Vardas41       Pavarde41      8.63
Vardas410      Pavarde410     3.97
Vardas411      Pavarde411     5.81
Vardas412      Pavarde412     4.48
Vardas413      Pavarde413     3.88
Vardas414      Pavarde414     6.63
Vardas415      Pavarde415     6.11
Vardas416      Pavarde416     5.48
Vardas417      Pavarde417     5.39
Vardas418      Pavarde418     6.79
Vardas419      Pavarde419     6.28
Vardas42       Pavarde42      7.07
Vardas420      Pavarde420     3.08
Vardas421      Pavarde421     8.04
Vardas422      Pavarde422     7.98
Vardas423      Pavarde423     4.89
Vardas424      Pavarde424     8.17
Vardas425      Pavarde425     8.25
Vardas426      Pavarde426     6.27
Vardas427      Pavarde427     3.37
Vardas428      Pavarde428     6.24
Vardas429      Pavarde429     7.16
Vardas43       Pavarde43      4.38
Vardas430      Pavarde430     3.67
Vardas431      Pavarde431     2.83
Vardas432      Pavarde432     6.23
Vardas433      Pavarde433     6.14
Vardas434      Pavarde434     5.55
Vardas435      Pavarde435     5.03
Vardas436      Pavarde436     6.09
Vardas437      Pavarde437     5.98
Vardas438      Pavarde438     8.15
Vardas439      Pavarde439     4.20
Vardas44       Pavarde44      7.18
Vardas440      Pavarde440     4.18
Vardas441      Pavarde441     3.26
Vardas442      Pavarde442     3.25
Vardas443      Pavarde443     7.53
Vardas444      Pavarde444     6.39
Vardas445      Pavarde445     6.99
Vardas446      Pavarde446     8.15
Vardas447      Pavarde447     2.24
Vardas448      Pavarde448     2.79
Vardas449      Pavarde449     6.31
Vardas45       Pavarde45      5.13
Vardas450      Pavarde450     8.40
Vardas451      Pavarde451     8.08
Vardas452      Pavarde452     4.31
Vardas453      Pavarde453     5.38
Vardas454      Pavarde454     7.33
Vardas455      Pavarde455     6.84
Vardas456      Pavarde456     3.25
Vardas457      Pavarde457     6.66
Vardas458      Pavarde458     5.29
Vardas459      Pavarde459     7.09
Vardas46       Pavarde46      3.23
Vardas460      Pavarde460     7.57
Vardas461      Pavarde461     6.47
Vardas462      Pavarde462     4.60
Vardas463      Pavarde463     7.61
Vardas464      Pavarde464     5.94
Vardas465      Pavarde465     6.31
Vardas466      Pavarde466     4.14
Vardas467      Pavarde467     3.02
Vardas468      Pavarde468     8.38
Vardas469      Pavarde469     7.97
Vardas47       Pavarde47      5.04
Vardas470      Pavarde470     5.28
Vardas471      Pavarde471     2.83
Vardas472      Pavarde472     2.89
Vardas473      Pavarde473     3.04
Vardas474      Pavarde474     5.36
Vardas475      Pavarde475     2.85
Vardas476      Pavarde476     2.75
Vardas477      Pavarde477     5.11
Vardas478      Pavarde478     6.49
Vardas479      Pavarde479     3.34
Vardas48       Pavarde48      2.77
Vardas480      Pavarde480     7.18
Vardas481      Pavarde481     3.82
Vardas482      Pavarde482     4.51
Vardas483      Pavarde483     6.95
Vardas484      Pavarde484     7.26
Vardas485      Pavarde485     7.59
Vardas486      Pavarde486     6.79
Vardas487      Pavarde487     7.92
Vardas488      Pavarde488     7.16
Vardas489      Pavarde489     6.13
Vardas49       Pavarde49      6.68
Vardas490      Pavarde490     7.98
Vardas491      Pavarde491     3.09
Vardas492      Pavarde492     5.21
Vardas493      Pavarde493     5.36
Vardas494      Pavarde494     5.98
Vardas495      Pavarde495     4.74
Vardas496      Pavarde496     6.74
Vardas497      Pavarde497     2.83
